size	"CPriorityQueue (Graph of Degree: 4)"	"PoorPriorityQueue (Graph of Degree: 4)"	"RubyPriorityQueue (Graph of Degree: 4)"
100	0.00224618911743164	0.00624475479125977	0.00999178886413574
200	0.00454645156860352	0.0206499099731445	0.0216238498687744
300	0.00689601898193359	0.0456759929656982	0.0333521842956543
400	0.00930037498474121	0.0799281597137451	0.0460003852844238
500	0.0121791362762451	0.120535612106323	0.0602848052978516
600	0.0147404193878174	0.175632238388062	0.0720498085021973
700	0.017409610748291	0.239475774765015	0.0866350173950195
800	0.019864559173584	0.308732604980469	0.0979691028594971
900	0.0226212501525879	0.394028520584106	0.11493763923645
1000	0.0251464366912842	0.487221813201904	0.125885772705078
2000	0.0565140247344971	2.28050599098206	0.276543807983398
3000	0.085650634765625	6.21102161407471	0.448645544052124
4000	0.10867018699646	8.67334637641907	0.573670101165771
5000	0.138333988189697	14.8025764465332	0.749224042892456
6000	0.188258218765259	23.5921889781952	0.926058626174927
7000	0.22198920249939	35.1978524208069	1.12497220039368
8000	0.253745651245117	51.36594581604	1.34597997665405
9000	0.261373472213745	48.2841837882996	1.37383661270142
10000	0.296752548217773	63.1833290576935	1.60117835998535
20000	0.624662017822266	277.677141237259	3.37345514297485
30000	1.0169261932373	733.016969585419	5.47739477157593
40000	1.29656438827515	''	7.03887400627136
50000	1.84444799423218	''	9.04675197601318
60000	2.16575860977173	''	11.4338163852692
70000	2.34671788215637	''	12.989319562912
80000	2.91462659835815	''	14.7507841110229
90000	3.36594500541687	''	17.4672434329987
100000	3.74284019470215	''	19.7872510433197
200000	8.33274736404419	''	44.0830686569214
300000	15.3942915916443	''	75.2278475284576
400000	22.4600916385651	''	109.477935791016
500000	29.9784585952759	''	150.160971403122
600000	37.4891954421997	''	192.808595132828
700000	''	''	''
800000	''	''	''
900000	''	''	''
